palabra,significado
moku,"comer, beber, consumir, tragar, ingerir"
moli,"muerto, morir, matar"
monsi,"espalda, detrás, trasero"
mu,"ruido o comunicación animal, vocalización no humana"
mun,"luna, estrella, brillo, luz brillante, luz en la oscuridad"
musi,"artistico, entretenimiento, frivolidad, jugar, divertido"
mute,"muchos, varios, mas, muy, cantidad, tres o mas, 20"
namako,"embellecer, añadido; extra, especias, adicional {ver sin}"
nanpa,"-th (numero ordinal), numeros"
nasa,"extraño, loco, raro, tonto, alcohol"
nasin,"camino, carretera, calle, tradición, doctrina, método"
nena,"relieve, bache, bulto, montaña, cuesta, protuberancia"
ni,"esto, eso"
nimi,"nombre, palabra"
noka,"pie, pierna, organo locomotor, abajo, parte inferior"
o,hey! O!
oko,"{ver lukin} | ALT ojo, ocular, visual {cf. ver}"
olin,"amor, tener compasión, respeto, mostrar afecto"
ona,"el, ella, eso, elle"
open,"inicio, empezar, abrir, encender"
pakala,"estropeado, roto, dañado, herido, desastroso, ¡joder!)"
pali,"hacer, trabajar, tomar acción en, construir, hacer, perparar"
palisa,"palo, vara, rama, tronco, objeto largo y duro"
pan,"cereal, grano, cebada, maiz, avena, arroz, trigo, pan, pasta"
pana,"dar, enviar, emitir, proveer, poner, soltar"
pi,"de, usado para dividir un segundo grupo de sustantivos que describe el primer grupo de sustantivos"
pilin,"corazón (físico o emocional), sentimientos, experiencia directa"
pimeja,"negro, oscuro, apagado"
pini,"terminar, completar, acabar, fin, pasado, final"
pipi,"bicho, insecto, hormiga, araña"
poka,"cadera, lado, cerca de, próximo, junto con, al lado"
poki,"contenedor, bolsa, cuenco, caja, taza, cajón, vasija"
pona,"bueno, positivo, útil, amigable, pacífico, simple"
pu,interactuar con el libro oficial de Toki Pona {ver ku}
sama,"mismo, similar, cada uno, hermano, compañero, comparaciones, como"
seli,"fuego, cocinar, reacción química, fuente de calor"
selo,"forma exterior, capa exterior, ladrar, pelar, caparazón, piel, perímetro"
seme,que? como?
sewi,"arriba, superior, parte mas alta, elevado, impresionante, divino, sagrado, supernatural"
sijelo,"cuerpo (de persona o animal), estado fisico, torso"
sike,"redondo, circular, bola, circulo, bicicleta, esfera, rueda, ciclo de un año entero"
sin,"nuevo, fresco, adicional, otro, extra"
sina,tu
sinpin,"cara, principal, frente, muro"
sitelen,"imagen, fotografía, representación, simbolo, marca, escritura"
sona,"saber, ser habilidoso en, conocedor de, que tiene información de, saber como"
soweli,"animal, bestia, mamífero, animal terrestre"
suli,"grande, pesado, grande, largo, alto, importante, adulto"
suno,"sol, luz, brillo, resplandor, radiar, brillar, fuente de luz"
supa,"superficie horizontal, objeto sobre el que dormir"
suwi,"dulce, fragancia, lindo, inocente, adorable"
tan,"por, de, porque, origen, causa"
taso,"pero, sin embargo, solo"
tawa,"ir a, hacia, desde la perspectiva de, moverse, ir a..."
telo,"agua, liquido, fluido, mojado, bebidas"
tenpo,"tiempo, duración, momento, ocasión, periodo, situación"
toki,"comunicar, decir, hablar, hola, saludar"
tomo,"espacio interior, edificio, hogar, casa, habitación"
tu,dos
unpa,"sexo, sensual"
uta,"boca, labios, cavidad oral, mandíbula"
utala,"batalla, reto, competir, difícil"
walo,"blanco, blanquecino, pálido"
wan,"único, unido, uno"
waso,"pájaro, criatura voladora, animal con alas"
wawa,"fuerte, poderoso, confianza, firme, energético, intenso"
weka,"ausente, lejos, ignorado, echar de menos"
wile,"deber, necesitar, requerir, debería, quiero, deseo, querer"
